conv_index,model_type,decoding,context,knowledge,response,Avg Factual Correctness,Hallucination,Verifiable
1199,GPT2-small,DBS,"A: I really enjoy a fun day of skiing! I don't do it competitively though. <br>B: water skiing or snow skiing? <br>A: Water skiing is my preferred type of skiing! I love being out on the water. <br>B: Oh ok what do they call it when you ski on one ski? <br>A: I'm not sure if I ever heard of skiing on only one ski, but I do know there is Asymmetrical skis that were used until 19th century Sweden. <br>B: Nice, I know very little about skiing what else can you tell me? <br>","Skiing Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.","Well, modern skiing may have originated from Scandinavia.",0.833333333,No,y
1391,GPT2-large,nucleus,"A: Have you ever had candy from Dylan's Candy Bar? It's to die for! They're a chain of boutique candy shops! <br>B: I don't think I have heard of them. I should probably check them out since I love candy! <br>A: There are currently locations in New York City, East Hampton, Los Angeles, Chicago and Miami Beach! Are you by one of those locations? <br>B: Oh my, I am quite far from all these places. But I visit NYC every summer so I will check it out next time! <br>A: The flagship location is the New York City store on 60th Street and 3rd Avenue! It's considered a must-see for many tourists and celebrities! <br>B: I see, I wonder what sort of famous candy they sell to attract celebrities! <br>","Dylan's Candy Bar It stocks 7,000 candies from around the world.","They have over 7,000 candies in their candy bar! I'm sure they have some famous ones!",1.0,No,y
407,GPT2-xlarge,beam search,"A: Do you like the flavor vanilla? It's my favorite ice cream flavor. It comes from a Mexican plant species. <br>B: Yes!  Vanilla gets a bad reputation as being a ""bland"" and ""boring"" flavor, but it's the basis for a lot of other flavors and mix-ins. <br>A: Yes, absolutely. It's a very subtle flavor that is rich at the same time, if that makes sense. The word vanilla comes from Spanish ""vaina"" which means ""little pod"". <br>B: Yeah that little pod contains the black seeds that contain all the flavor.  Alton Brown showed me on his show how to extract vanilla from the pod. <br>A: Apparently that is done by macerating and percolating the vanilla pods. You put it in a solution of water and ethanol. <br>B: Such an intense process, right!  Just so people can dismiss the flavor as ""boring.""  Anyway, have you ever tried vanilla in couscous?  It's usually used in ice cream, but vanilla can make an interesting desert couscous. <br>","Couscous Couscous ( ' ; ') is a Maghrebi dish of small (about 3mm diameter) steamed balls of crushed durum wheat semolina, usually served with a stew spooned on top.","I haven't tried it, but it sounds interesting. It's a small steamed ball of steamed wheat.",0.5,Yes,y
1603,GPT2-medium,DBS,"A: Blue and yellow are beautiful colours but green is amazing, it's a mix of both! <br>B: Green is actually my favorite color! <br>A: I tend to change my favourite colours. Gendar, age and culture are a big influence on how people perceive colours. <br>B: Yeah that makes a lot of sense, when I was younger my favorite color was different. <br>A: Pink got the name from the flowers pinks. I'm not a big fan of flowers maybe thats why I am not a big fan of the colour itself. They are plants in the genus ""Dianthus"" <br>B: Interesting, what kind of flowers are they. <br>","Pink The color pink is named after the flowers, pinks, flowering plants in the genus ""Dianthus,"" and derives from the frilled edge of the flowers.",I am not sure but I do know that the name comes from the flower's frilled edges.,1.0,No,y
1736,GPT2-large,beam search,"A: I am glad I dont have any medical bills, but I know someone who has thousands of dollars worth of them <br>B: Well that's why health insurance is important. <br>A: But doesn't health insurance only cover so much, or is there insurance out there that covers it all <br>B: Well it's normally a small fraction versus the whole bill. <br>A: I see, I wonder how much debt most people are in due to medical bills <br>","Medical billing For several decades, medical billing was done almost entirely on paper.","I'm not sure, but medical bills were mostly done on paper for many years.",1.0,No,y
394,GPT2-small,DBS,"A: I absolutely love beef, it's probably one of my favorite foods! What's your favorite food to make with beef? <br>B: I don't  make it, but I love to eat it: Kobe Beef! Fancy Japanese style. Have you had it? <br>A: Yes, Kobe Beef is awesome, the taste is so invigorating! <br>B: It is! It comes from a specific breed of Wagyu cattle that is bred in Japan. Most Kobe in the United States is actually mislabeled. <br>A: Kobe beef <br>","Kobe beef These were the four wagyū breeds, the Japanese Black, the Japanese Brown, the Japanese Polled and the Japanese Shorthorn.","Yes, they are the 4 wagyu breeds. They are Japanese Black and Japanese Brown.",0.833333333,No,y
386,GPT2-xlarge,beam search,"A: React is a JavaScript library that is for building user interfaces. <br>B: That's pretty cool, how long has it been around? <br>A: It was first deployed in 2011 on Facebook's newsfeed. <br>B: Interesting, did Facebook develop it then? <br>A: I don't know about that one. <br>B: Alright, what else can you tell me about React? <br>","React (JavaScript library) He was influenced by XHP, an HTML component framework for PHP.",He was also influenced by the XHP framework.,1.0,No,y
1603,GPT2-small,nucleus,"A: Blue and yellow are beautiful colours but green is amazing, it's a mix of both! <br>B: Green is actually my favorite color! <br>A: I tend to change my favourite colours. Gendar, age and culture are a big influence on how people perceive colours. <br>B: Yeah that makes a lot of sense, when I was younger my favorite color was different. <br>A: Pink got the name from the flowers pinks. I'm not a big fan of flowers maybe thats why I am not a big fan of the colour itself. They are plants in the genus ""Dianthus"" <br>B: Interesting, what kind of flowers are they. <br>","Pink The color pink is named after the flowers, pinks, flowering plants in the genus ""Dianthus,"" and derives from the frilled edge of the flowers.","I'm not sure but the flowers have a frilled edge and are in a family of flowers called ""Dianthus.""",1.0,No,y
1389,GPT2-large,beam search,"A: Elvis Presley was an American singer, musician, and actor. <br>B: I knew he was a singer, but I never knew he was an actor! <br>A: Yea with a series of successful tv appearances and chart-topping records, he became the leading figure of rock and roll. <br>B: Wow, I really didn't know that about him. What else do you know about Elvis then? <br>A: He was born in Tupelo, Mississippi but then moved to Memphis, Tennessee with his family when he was only 13 years old. <br>B: I never would've guessed that he was born in Mississippi. Is that where he got the inspiration for his music? <br>","Elvis Presley His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience.","I'm not sure, but his career began in 1954 with Sun Records.",1.0,No,y
1448,GPT2-large,beam search,"A: i love hot dogs <br>B: Me to fresh off the grill with onions, ketchup and mustard it is delicious how do you like yours? <br>A: the same <br>B: I still like hot dogs even though hot dogs are made from caribou meat in Alaska. <br>A: there's all beef hotdogs <br>",Hot dog Hot dog variants include the corn dog and pig in a blanket.,There are also variants of hot dogs that include corn dogs and pigs in blankets.,1.0,No,y
802,GPT2-medium,DBS,"A: I am so scared of mountain climbing and things like mountaineering. <br>B: Mountaineering seems to have a varied definition depending on who you ask. Some categorize it as more of climbing while others lump it into more of a hiking/ backpacking thing. <br>A: I am scared of heights. So climbing any mountain would be impossible for me. <br>B: Well then you should definitely never go anywhere near mount everest. It is the highest mountain above sea level. <br>A: I would love to go see it and if I can drive up a mountain then I would be fine, but no climbing for me <br>",David Sharp (mountaineer) David Sharp (15 February 1972 – 15 May 2006) was an English mountaineer who died near the summit of Mount Everest.,David Sharp was one of the best mountaineers of all time. He died in 2006.,0.666666667,Yes,y
397,GPT2-small,nucleus,"A: I've read a lot of fairy tales in my life, usually ones with dragons and unicorns.  Have you read many fairy tales? <br>B: Oh yes fairy tales were a staple growing up.  My favorites were Cinderella and Rapunzel. <br>A: Have you ever seen the movie Into the Woods?  It takes a lot from the Rapunzel and Cinderella stories, and is a pretty good musical. <br>B: I have not seen it but I do enjoy musicals.  Wicked is one of my favorites, based on the Wizard of Oz. <br>A: I loved Wicked!  It's one of my favorite musicals too.  I also went and read the Gregory Maguire book it was based on, have you read that? <br>B: I have read all of the Gregory Maguire books and the entire Wicked collection.  He really puts a creative spin on the classic fairy tales we were told as children. <br>","Land of Oz The fictional Land of Oz is a magical country first introduced in the classic children's novel ""The Wonderful Wizard of Oz"" (1900).","Yes, I have read all of the books.  I love that land of Oz.  I love how it is a magical country first introduced in 1900.",0.833333333,No,y
490,GPT2-small,DBS,"A: Hello, do you like puzzles? I enjoy crossword puzzles! <br>B: Yes I do. But I never seem to be able to think of all the words. <br>A: Well, you should try the cryptic crosswords. Each word is it's own puzzle. SO FUN! <br>B: Wow tell me more about this puzzle. Sounds interesting! <br>A: What's awesome about cryptic crosswords is they are usually called ""setters"" in the UK. <br>B: Oh I have to know why. I would like to know how to do this puzzle. <br>","Cryptic crossword Cryptic crossword puzzles come in two main types: the basic cryptic in which each clue answer is entered into the diagram normally, and ""themed"" or ""variety"" cryptics, in which some or all of the answers must be altered before entering, usually in accordance with a hidden pattern or rule which must be discovered by the solver.",There are two types of cryptic puzzles. The basic and the themed.,1.0,No,y
1085,GPT2-xlarge,beam search,A: I love training dogs to do tricks and to behave well <br>B: That sounds like fun! Do you train dogs as a hobby or are you a professional dog trainer? <br>A: I just train my dogs through classical conditioning <br>B: What methods do you use to train them? I have a dog who needs to be trained! <br>A: Classical condition is forming an association between two stimuli and non-associative is where behavior is modified through habituation.  Also operant where they learn to form an association an action and its consequence <br>B: Oh I understand! I can see how that would be effective! Can you give me any other tips for training my dog? <br>,"Dog training Some of the better known dog training procedures include the Koehler method, clicker training, motivational training, electronic training, model-rival training, dominance-based training, and relationship-based training.","There are so many different ways to train dogs.  There are clicker, motivational, electronic, and many more.",0.833333333,No,y
104,GPT2-small,nucleus,"A: Did you ever read 1984 in school? Pretty wild how often it comes up these days as feeling relevant -- even with it having been written in 1949 by Orwell. <br>B: Never heard of it. What is it about? <br>A: Well, it's the definition of dystopia. A society ruled by a privileged, elite party that persecutes individualism and independent thinking, which are regarded as ""thoughtcrimes"". <br>B: That sounds very interesting. I will have to check that out. <br>A: You'll suddenly realize *all* the references we have to it in popular culture. 1984 had the ""Thought Police"" that persecuted the ""thoughtcrimes"" -- and maybe you've heard Cheap Trick's song ""Dream Police""? That's just one example of influence. <br>B: That is very cool. I would love to hear more. <br>","Nineteen Eighty-Four The tyranny is ostensibly overseen by a mysterious leader known as Big Brother, who enjoys an intense cult of personality.",It's interesting to think about the cult of personality. It's supposed to be a means of controlling the government.,0.666666667,No,y
1085,GPT2-xlarge,DBS,A: I love training dogs to do tricks and to behave well <br>B: That sounds like fun! Do you train dogs as a hobby or are you a professional dog trainer? <br>A: I just train my dogs through classical conditioning <br>B: What methods do you use to train them? I have a dog who needs to be trained! <br>A: Classical condition is forming an association between two stimuli and non-associative is where behavior is modified through habituation.  Also operant where they learn to form an association an action and its consequence <br>B: Oh I understand! I can see how that would be effective! Can you give me any other tips for training my dog? <br>,"Dog training Some of the better known dog training procedures include the Koehler method, clicker training, motivational training, electronic training, model-rival training, dominance-based training, and relationship-based training.","There are so many different ways to train dogs.  There are clicker, motivational, electronic, and many more.",1.0,No,y
1431,GPT2-large,nucleus,"A: i think skiing is for rich people <br>B: Same here, I've never tried skiing whether it was for recreation or for transport. <br>A: yeah the equipment is too expensive, even if you rent <br>B: Exactly. That's why I just stick to watching competitive skiing occasionally. <br>A: that's cool do you have any favorite skiers? <br>",Skiing Skiing has a history of almost five millennia.,I like Greg Long. Skiing has been around almost 5 millennia.,1.0,No,y
1615,GPT2-large,DBS,"A: My favorite color is forest green! I feel like it compliments my skin well. I feel like there has to be some cool facts to know about it, though. <br>B: Yes its one of the primary colors in the RGB color model, often used on television and computer screens. <br>A: My girlfriend always teases me about green being my favorite color.. Do me a favor, tell me the best fact you know about green, or the coolest instance of green in nature, etc. Just something to show her it's a good color to choose as your favorite. <br>B: You should know that in the Middle Ages and Renaissance, green was associated with merchants and bankers! I bet your girlfriend might be impressed by that! <br>A: Yeah.. that's kind of cool, actually. Merchants and bankers, they're good peeps. Well, what else might she not know? I don't want some common knowledge, I want the good stuff! <br>",Green It also has a long historical tradition as the color of Ireland and of Gaelic culture.,"Well, the color green has been associated with Ireland and Gaelic cultures for centuries!",1.0,No,y
1894,GPT2-xlarge,DBS,"A: Hey! How familiar are you with Kurt Cobain? <br>B: Yeah, he was from Washington, where he formed the band Nirvana. Are you a fan? <br>A: I've heard a few of his songs but not a huge know it all about anything of his <br>B: Nevermind was their first album with their drummer Dave Grohl. Do you know him from the Foo Fighters? <br>A: I do not. I think I've maybe heard one song by them <br>","Grunge Grunge (sometimes referred to as the Seattle sound) is a subgenre of alternative rock and a subculture that emerged during the in the Pacific Northwest U.S. state of Washington, particularly in Seattle and nearby towns.",Have you ever heard of grunge? It's an alternative rock subculture.,0.833333333,No,y
1736,GPT2-medium,DBS,"A: I am glad I dont have any medical bills, but I know someone who has thousands of dollars worth of them <br>B: Well that's why health insurance is important. <br>A: But doesn't health insurance only cover so much, or is there insurance out there that covers it all <br>B: Well it's normally a small fraction versus the whole bill. <br>A: I see, I wonder how much debt most people are in due to medical bills <br>","Medical billing For several decades, medical billing was done almost entirely on paper.","I'm not sure, but medical bills have been done on paper for a long time.",0.666666667,No,y
1100,GPT2-medium,nucleus,A: i love harry potter <br>B: I really like Harry Potter and J.K. Rowling. <br>A: yea its a great series <br>B: For a while I never knew that J.K. Rowling was a British author. <br>A: oh yea i didnt know that <br>,"Harry Potter The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",I like the books because they chronicle the life of Harry Potter and his friends.,1.0,No,y
566,GPT2-xlarge,nucleus,"A: I dont know anyone with a Bachelors in nursing. <br>B: i dont either. The Bachelor of Science in Nursing also known in some countries as a Bachelor of Nursing <br>A: Yea seems more like a woman dominant field. <br>B: Yeah and somtimes, The course of study is typically 3 or 4 years. <br>A: Oh do they not need anything like medical school experience <br>","Bachelor of Science in Nursing The difference in degree designation may relate to the amount of basic science courses required as part of the degree, with BScN and BSN degree curriculums requiring completion of more courses on math and natural sciences that are more typical of BSc degrees (e.g.","I think they do need it. The difference in degree designation may relate to the amount of basic science courses required as part of the degree,",0.666666667,No,y
490,GPT2-medium,nucleus,"A: Hello, do you like puzzles? I enjoy crossword puzzles! <br>B: Yes I do. But I never seem to be able to think of all the words. <br>A: Well, you should try the cryptic crosswords. Each word is it's own puzzle. SO FUN! <br>B: Wow tell me more about this puzzle. Sounds interesting! <br>A: What's awesome about cryptic crosswords is they are usually called ""setters"" in the UK. <br>B: Oh I have to know why. I would like to know how to do this puzzle. <br>","Cryptic crossword Cryptic crossword puzzles come in two main types: the basic cryptic in which each clue answer is entered into the diagram normally, and ""themed"" or ""variety"" cryptics, in which some or all of the answers must be altered before entering, usually in accordance with a hidden pattern or rule which must be discovered by the solver.","Well, you can enter each clue into the clue, or you can alter it before entering. I guess it's more fun to do the cryptic.",0.666666667,No,y
1603,GPT2-xlarge,DBS,"A: Blue and yellow are beautiful colours but green is amazing, it's a mix of both! <br>B: Green is actually my favorite color! <br>A: I tend to change my favourite colours. Gendar, age and culture are a big influence on how people perceive colours. <br>B: Yeah that makes a lot of sense, when I was younger my favorite color was different. <br>A: Pink got the name from the flowers pinks. I'm not a big fan of flowers maybe thats why I am not a big fan of the colour itself. They are plants in the genus ""Dianthus"" <br>B: Interesting, what kind of flowers are they. <br>","Pink The color pink is named after the flowers, pinks, flowering plants in the genus ""Dianthus,"" and derives from the frilled edge of the flowers.",They are a type of flowering plant. They have frilled edges.,0.833333333,No,y
207,GPT2-large,beam search,"A: Pit bulls are great dogs, but quite often they are misunderstood. <br>B: I have always wondered where the name pit bull came from as a name of a breed of dog. <br>A: Pit bulls are a descendant of bulldogs! Maybe that's where the ""bull"" comes from. What do you think? <br>B: Pit Bulls were originally developed as fighting dogs, so i'm sure that is how they received their reputation. <br>A: They do sometimes serve as search and rescue and police dogs, so they do have a purpose. I have friends that own them and they are wonderful pets if trained correctly. <br>","Pit bull After the use of dogs in blood sports was banned, such dogs were used as catch dogs in the United States for semi-wild cattle and hogs, to hunt and drive livestock, and as family companions.","Yes, they were originally used for hunting and driving livestock.",1.0,No,y
61,GPT2-medium,beam search,"A: I love to go travelling! It's my favorite! <br>B: trvaeling is very fun be it by bicycles, trians, cars, and planes or boats buses, or automobiles <br>A: I prefer to travel by car, but I'll fly if necessary. <br>B: Yep trvaeling for short stays before moving to a new place can be fun <br>A: Hotels are okay but if it's an extended stay I do an Airbnb. <br>","Airbnb Airbnb is an American company which hosts an online marketplace and hospitality service, for people to lease or rent short-term lodging including vacation rentals, apartment rentals, homestays, hostel beds, or hotel rooms.",Airbnb is a great company to host short term rentals,0.666666667,No,y
591,GPT2-xlarge,nucleus,"A: Don't you love pizza delivery, when a pizzeria or pizza chain delivers a pizza straight to a customers door? <br>B: I do love pizza delivery! So convenient! <br>A: I agree, its great having a delicious Italian dish delivered within an hour, steam coming out of the box <br>B: It is perfect for last minute when you don't know what to make. <br>A: Ordering over the internet too from the comfort of your desk, and easily being able to choose topings and sides easily is also another thing I absolutely love about pizza delivery <br>B: Yes that is a perk too. You can also use an app and create and order the pizza from your phone. <br>","Pizza delivery Specialized computer software for the pizza delivery business helps determine the most efficient routes for carriers, track exact order and delivery times, manage calls and orders with PoS software, and other functions.",I love that too! I love that I can track exactly when my pizza is coming and how much it is!,0.666666667,No,y
453,GPT2-medium,DBS,"A: Im really harsh with my inner critical voice. <br>B: Oh that sounds terrible... Why is that? <br>A: I just have low self esteem and have trouble dealing with my depression. <br>B: Do you take like medication for it? Its much more common then you would think <br>A: No, my main approach has been working with an inncer critic psychotherapists. <br>B: Oh okay, Im not sure what that is <br>","Psychotherapy Psychotherapy is the use of psychological methods, particularly when based on regular personal interaction, to help a person change and overcome problems in desired ways.",They use psychological methods to help me overcome my issues.,0.833333333,No,y
1538,GPT2-medium,beam search,A: do you like popcorn? <br>B: Love it.  Especially sweet popcorn.  Aparently some strains of corn are actually cultivated specially as popping corns. <br>A: yup. that sounds good and the popping sound will be amazing to hear <br>B: I agree with you.  Experts have found that the popping of the kernels happened by people as far back as the early 19th Century! So it not just a modern day food. <br>A: yes i do agree with you.popcorn is much better than nachos. what do you say? <br>,"Nachos The dish consists of tortilla chips (or ""totopos"") covered with cheese or cheese-based sauce, and is often served as a snack.",The nacho is a tortilla chip filled with cheese.  It is a great snack!,0.666666667,Yes,y
1391,GPT2-xlarge,beam search,"A: Have you ever had candy from Dylan's Candy Bar? It's to die for! They're a chain of boutique candy shops! <br>B: I don't think I have heard of them. I should probably check them out since I love candy! <br>A: There are currently locations in New York City, East Hampton, Los Angeles, Chicago and Miami Beach! Are you by one of those locations? <br>B: Oh my, I am quite far from all these places. But I visit NYC every summer so I will check it out next time! <br>A: The flagship location is the New York City store on 60th Street and 3rd Avenue! It's considered a must-see for many tourists and celebrities! <br>B: I see, I wonder what sort of famous candy they sell to attract celebrities! <br>","Dylan's Candy Bar It stocks 7,000 candies from around the world.","I'm not sure, but I do know that they have over 7000 candies in stock!",1.0,No,y
1518,GPT2-xlarge,beam search,"A: I dont like bees because they sting <br>B: me too, they are flying insects closely related to wasps and ants, known for their role in pollination <br>A: Yeah they give us honey and i like that atleast <br>B: We research says that  Bees are a monophyletic lineage within the superfamily Apoidea and are presently considered a clade, called Anthophila <br>A: Do bees have fur? <br>","Bee They are found on every continent except Antarctica, in every habitat on the planet that contains insect-pollinated flowering plants.","Yes they do, and they are found everywhere except Antartica",0.833333333,No,y
