conv_index,dial_index,model_type,decoding,context,knowledge,response,Avg Factual Correctness,Hallucination,Verifiable
1013,6,GPT2-small,beam search,"A: I am going to see the Canadian rock band Nickelback soon! <br>B: I like to go to canada trip. can you tell more about that place <br>A: Well the bank Nickelback is from Hanna, Alberta Canada and their lead singer and guitarist is Chad Kroeger <br>B: Good buddy.what special in album <br>A: They released a great album called ""The State"" in 2000 album and it achieved commercial success <br>B: Nickelback is a Canadian rock band formed in 1995 in Hanna, Alberta, Canada. <br>",She has won numerous awards and has sold more than 50 million records worldwide.,They have won over 50 million albums worldwide.,0.666666667,Yes,y
1810,6,GPT2-small,DBS,A: The Insane Clown Posse is so insane. Who are these guys? <br>B: Funny you ask! My daughter introduced me to them last week. They are an American hip hop duo. One is named Violent J and the other Shaggy 2 Dope. I was speechless after listening to them! <br>A: Haha. I came across the Insane Clown Posse on the internet and they are so fascinatingly weird. What else do you know about them? <br>B: They were founded in 1989 in Detroit and their hip hop style is known as horrorcore and they love to give a good show! <br>A: Wow Insane Clown Posse has been around for that long? It is hard to stay that relevant in music these days. <br>,"The album became a sleeper hit with the help of five singles that attained chart success, including the ""Billboard"" hit ""Harder to Breathe"" and international hits ""This Love"" and ""She Will Be Loved"".","I'm not sure how long they have been around, but I do know that five singles reached the top 10 in the Billboard 200.",0.666666667,No,y
1810,1,GPT2-medium,DBS,A: The Insane Clown Posse is so insane. Who are these guys? <br>B: Funny you ask! My daughter introduced me to them last week. They are an American hip hop duo. One is named Violent J and the other Shaggy 2 Dope. I was speechless after listening to them! <br>A: Haha. I came across the Insane Clown Posse on the internet and they are so fascinatingly weird. What else do you know about them? <br>B: They were founded in 1989 in Detroit and their hip hop style is known as horrorcore and they love to give a good show! <br>A: Wow Insane Clown Posse has been around for that long? It is hard to stay that relevant in music these days. <br>,"The album became a sleeper hit with the help of five singles that attained chart success, including the ""Billboard"" hit ""Harder to Breathe"" and international hits ""This Love"" and ""She Will Be Loved"".","Yes, they have been around a long time. They have had five albums that have charted success including the album Harder to breathe.",0.666666667,No,y
654,5,GPT2-small,beam search,"A: The beginning of school for most kids <br>B: Hey. Kintergarten is usually the first experience kids have  with schooling. They play, sing, draw, and get their basic skills for schooling from it. <br>A: Yes, most kids start at six when entering. <br>B: Six is the entry age in a lot of places, but some countries start children at 2 years old, and others as old as 8. <br>A: kids will learn the sounds of the alphabet. <br>","Within a language system, writing relies on many of the same structures as speech, such as vocabulary, grammar, and semantics, with the added dependency of a system of signs or symbols.","There are many different types of writing, like vocabulary, grammars, and so on.",0.5,No,y
84,1,GPT2-large,nucleus,"A: I went to visit Dallas, TX years ago, but I'd like to go back. Ever been? <br>B: no but ive driven through dallas texas, seems like a nice city <br>A: Yes, I went as a child and we have a picture of me trying to climb the fence around the house in the show, ""Dallas"". But, I can't remember much about the actual city. <br>B: its the ninth highest population of american citites <br>A: I can see that. My aunt lived there for a long time and she really liked it. But, said it was crazy populated <br>",The city's population ranks ninth in the U.S. and third in Texas after Houston and San Antonio.,"Yes, it was really crowded back then. It's a big city in Texas and its third biggest in the US",0.833333333,No,y
1028,1,GPT2-xlarge,DBS,A: I really like bowling but I have not done it in awhile. Has anything changed about it? <br>B: Bowling is one of major throwing sports. It has not changed <br>A: That's cool! So I can just get started again. :) Do you know much about bowling? <br>B: I am knowledgeable. In bowling your target is to knock all pins in the lane. <br>A: Oh yeah? What happens if you don't hit any pins? <br>,A pitch that misses the strike zone is called a ball (only if batter doesn't swing).,"If you miss all the pins, it is a ball.",0.333333333,No,y
1431,1,GPT2-xlarge,DBS,"A: i think skiing is for rich people <br>B: Same here, I've never tried skiing whether it was for recreation or for transport. <br>A: yeah the equipment is too expensive, even if you rent <br>B: Exactly. That's why I just stick to watching competitive skiing occasionally. <br>A: that's cool do you have any favorite skiers? <br>",The exact age and duration of the event is uncertain but it is estimated to have occurred around 55.5 million years ago.,"I don't really have a favorite, but I do know that the exact age of the first skiers is unknown.",0.333333333,No,y
1315,1,GPT2-large,DBS,"A: Do you like to online shop?  Do you do it a lot? <br>B: Yes I love being able to view an entire range of products easily <br>A: Same, and I like that people have not tried on the clothes before you <br>B: Yeah, I like that you just have to have a web browser <br>A: It can get expensive though, I try not to shop too often. <br>",The devices can be bought through the Google Store or at retail stores.,You can also buy the devices through the google store,1.0,No,y
77,1,GPT2-large,DBS,A: I really like racing go-karts. They are a type of open-wheel car. <br>B: yes i used to ride in them when I was younger. They are fun. <br>A: I also enjoy them because they come in all shapes and forms. Some don't even have moters! <br>B: how do they work without motors? <br>A: They are called gravity karts and work by using gravity to go down a hill really fast. <br>B: Oh ok kind of like a soap box derby? <br>,"Gravity racers, usually referred to as Soap Box Derby carts, are the simplest type of go-karts.","Yes, they are called soap box derby carts",1.0,No,y
1518,1,GPT2-medium,beam search,"A: I dont like bees because they sting <br>B: me too, they are flying insects closely related to wasps and ants, known for their role in pollination <br>A: Yeah they give us honey and i like that atleast <br>B: We research says that  Bees are a monophyletic lineage within the superfamily Apoidea and are presently considered a clade, called Anthophila <br>A: Do bees have fur? <br>","They are found on all continents, except Antarctica.",I am not sure but they are found all continents except Antartica,1.0,No,y
1098,1,GPT2-large,beam search,"A: I work as an accountant, where I measure, process, and communicate financial information about economies to my employer and its clients. <br>B: Do you enjoy it? <br>A: As long as I get paid to be an accounting practitioner, I'll enjoy it, how about that? ;) <br>B: What is the average salary for that type of a position? <br>A: The 2016 median annual salary was $68,150, and this of course varies from state to state with different job markets. <br>B: Do you have to obtain a lot of education in order to get a job like this? <br>","Programs for academic credit are for Master of Business Administration (MBA) and Executive MBA students, as well as graduate accounting and undergraduate students.","I'm not sure, but programs for master of business administration and executive MBA students are the most sought after.",0.5,Yes,y
1074,1,GPT2-medium,nucleus,"A: Hi there! I'm an accountant - what do you do? <br>B: I'm an engineer, but I know some about accounting myself, like how modern accounting was established in 1494. <br>A: Yes, an old and noble profession, haha! What kind of engineering do you do? <br>B: I'm into computer engineering, so anything hardware and software related really. Also I know that ""accounting"" and ""financial reporting"" are used as synonyms, but are they any different? <br>A: Not really, although it depends who you ask sometimes. <br>",Accounting directly impacts many other specialties in business and is closely linked with finance.,"I know it's a closely connected with finance, so it's very important to know that.",1.0,No,y
1080,1,GPT2-small,beam search,"A: I am allergic to bees, which a closely related to wasps, I can't bear the thought of getting a bee sting. <br>B: Are you allergic to a specific type of bee? <br>A: All bees and wasps, they all terrify me honey bee, african bee, wasps. The western honey beee is the most common bee worldwide so i most look out for them <br>B: What happens if you get stung? <br>A: Well without medical attention I don't make it. I can't even eat honey, because of the pollen that is used as food for the bee larvae. <br>B: Wow.  That sounds terrible.  Do you carry one of those Epipens? <br>",An apiary (also known as a bee yard) is a location where beehives of honey bees are kept.,"I don't have one, but I do have an apiary where honey bees are kept.",0.833333333,No,y
1046,1,GPT2-xlarge,nucleus,"A: i love cardiagns, they are knitted and open in the front <br>B: I've never really known what a cardigan is. Is it more of a jacket or what? <br>A: so its like a sweater, open in the front, its often tied like a robe <br>B: Ah that sounds like something I'd like to try on sometime. When were they popularized? <br>A: so coco chanel made them popular because she hated how traditional over the head sweaters messed up her hair <br>B: So that's where that whole craze came from? So simple but it created a whole new piece of clothing, that's cool! <br>","At the same time, she started attending the theatre Ludus, which was at that time still an amateur theatre targeted towards younger audiences with its repertoire and performance of both national and foreign classics.",yeah and at that time she was a theater major so she was always attending the theatre Ludus,0.666666667,Yes,y
555,1,GPT2-small,DBS,"A: Do you know a lot about the NBA or other athletes? <br>B: Yes! I love the NBA, I'm a big Dwyane Wade fan. What about you? <br>A: That's so cool I am too. I'm a huge Heat fan. I wish we did better this playoffs! <br>B: Yea the Miami Heat did not do very well...it has all gone downhill since LeBron left <br>A: LeBron should have stayed in Miami with D wade. That made me unhappy. He is a great player. <br>",Heat forward LeBron James was named the Finals MVP.,I agree! He was named Finals MVP!,1.0,No,y
1207,1,GPT2-xlarge,nucleus,"A: I drink protein powder with nothing but water <br>B: Really? Have you ever tried fish protein powder? Sounds gross, but its made for humans to drink. <br>A: Does it smells and taste good. Maybe I could give it a trial. I am trying to gain muscles here <br>B: I'm not sure? I do know it is put through a vigorous sanitation process.  It has to meet certain purity and functional aspects to be considered food grade. <br>A: Do you know the process it go through to be made <br>",Sustainable sanitation is a sanitation system designed to meet certain criteria and to work well over the long-term.,I know it is a sanitation system designed to meet certain criteria and to work well over the long-term.,1.0,No,y
1879,1,GPT2-xlarge,nucleus,"A: You know how to make coffee better? make it irish. <br>B: To make Irish coffee you just add whiskey, its really good, have you tried it? <br>A: I have, I thought I came up with it, turns out; I just have a drinking problem. <br>B: Well it depends on how much whisky you pour lol, I like my Irish coffee strong. <br>A: Did the irish really come up with Irish Coffee? <br>","Coffee has a number of classifications used to determine the participation of growers (or the supply chain) in various combinations of social, environmental, and economic standards.","Yes, it was invented in Ireland by the Caffee Company.",0.0,Yes,y
481,1,GPT2-medium,nucleus,"A: I love Del Taco.  It's an American style Mexican fast food. <br>B: Yes, they're pretty good.  Do they have a senior menu? <br>A: Del Taco has no senior menu but they often has coupons. You can go through drive-through windows if you are in a hurry. <br>B: What do they offer up for breakfast? <br>A: Same menu all day:  burgers, fries, and shakes. <br>B: Really, they have burgers?  What kinds? <br>",Burger King (BK) is an American global chain of hamburger fast food restaurants.,They have a variety of burgers.  Burger King is a global chain of fast food restaurants.,0.833333333,No,y
766,8,GPT2-small,DBS,A: Horse training is interesting. It can cause a horse to do incredible things! <br>B: I've trained horses to help my family with farm work before <br>A: That's great. Were they tame or did they race? <br>B: Tame horses and wild horses both race. <br>A: That's cool. Did any of your horses win any races? <br>,"A cowboy is an animal herder who tends cattle on ranches in North America, traditionally on horseback, and often performs a multitude of other ranch-related tasks.","I don't think I've ever won a race, but I do know that they are herder and herders.",0.5,No,y
1123,1,GPT2-medium,beam search,"A: I love history, I wish I knew more about Genghis Khan, he seems very interesting. <br>B: Yes it is. Do you know much about  the Great Khan and founder of the Mongol Empire, which became the largest contiguous empire in history after his death. <br>A: How did he started his empire ? <br>B: Very interesting, his strategy was by uniting all the  nomadic tribes of  Northeast Asia <br>A: Did he ever attacked China ? <br>","After founding the Empire and being proclaimed ""Genghis Khan"", he launched the Mongol invasions that conquered most of Eurasia.","I am not sure, but after founding the empire and being declared ""genghis khan"" he started the Mongolia invasions",0.833333333,No,y
26,2,GPT2-small,nucleus,"A: Have you heard of Peyton Manning? He's my favourite NFL player. <br>B: I have but just casually, this is because I am not a fan of the NFL. I prefer Soccer but tell me more <br>A: He played 18 seasons in the NFL, mainly with the Indianapolis Colts! <br>B: Nice. 18 is quite impressive, it means he has been with Indianapolis Colts for quite a while <br>A: Yes. Although he had to miss the 2011 season as he had neck curgery. He left the Colts after this and signed with the Broncos. <br>B: oh wow!, those injuries happen once in a while. How's he doing in Broncos <br>",Manning is the son of former NFL quarterback Archie Manning and the younger brother of former NFL quarterback Peyton Manning.,"He's improving, but not asHe's also playing for the Eagles. He's in a different league than Manning and Peyton.",0.0,Yes,y
81,9,GPT2-small,beam search,"A: Hi,what do you know about big farming? <br>B: Pig are primarily farmed just so they can be eaten by humans.  How sad but true. <br>A: OK,But there are some cultural and religion that detested eating pork meat .Is that true? <br>B: I think the quakers detest it in Utah.  To think in other nations thousands of pigs are housed in such terrible conditions.  I can't imagine being a pig. <br>A: Pig farming <br>",Pigs are farmed principally to be eaten (e.g.,"That's true.  Pigs are also farmed primarily to be consumed by humans, but I'm not sure if that's true or not.",1.0,No,y
1612,7,GPT2-small,beam search,"A: Hello! I've been a cheerleader for 10 years. I absolutely love it! <br>B: Sounds cool, I know some cheerleaders and they all love it. <br>A: I bet. It really got popular around 2000 when the movie ""Bring It On"" was released. <br>B: That would make sense, as that was a big movie. <br>A: Yeah, it really helped to explode it into the limelight. There's over 1.5 million people completing in all-star cheerleading! <br>B: Wow that's a lot of people. I assume most are women. <br>",It developed before the arrival of Acadian migrants during the Great Upheaval of the 18th century.,"That's true. It's been around since the 17th century, so it's definitely been around for a long time.",0.5,No,y
1810,1,GPT2-xlarge,DBS,A: The Insane Clown Posse is so insane. Who are these guys? <br>B: Funny you ask! My daughter introduced me to them last week. They are an American hip hop duo. One is named Violent J and the other Shaggy 2 Dope. I was speechless after listening to them! <br>A: Haha. I came across the Insane Clown Posse on the internet and they are so fascinatingly weird. What else do you know about them? <br>B: They were founded in 1989 in Detroit and their hip hop style is known as horrorcore and they love to give a good show! <br>A: Wow Insane Clown Posse has been around for that long? It is hard to stay that relevant in music these days. <br>,"The album became a sleeper hit with the help of five singles that attained chart success, including the ""Billboard"" hit ""Harder to Breathe"" and international hits ""This Love"" and ""She Will Be Loved"".","Yes, they have been around a long time. Their first album was released in 1995 and it was a huge hit. They have had a lot of success since then!",0.166666667,Yes,y
566,1,GPT2-medium,beam search,"A: I dont know anyone with a Bachelors in nursing. <br>B: i dont either. The Bachelor of Science in Nursing also known in some countries as a Bachelor of Nursing <br>A: Yea seems more like a woman dominant field. <br>B: Yeah and somtimes, The course of study is typically 3 or 4 years. <br>A: Oh do they not need anything like medical school experience <br>","The difference in degree designation may relate to the amount of basic science courses required as part of the degree, with BScN and BSN degree curriculums requiring completion of more courses on math and natural sciences that are more typical of BSc degrees (e.g.",They do not need to have a bachelors degree to get a nursing degree.,0.5,No,y
1046,1,GPT2-xlarge,beam search,"A: i love cardiagns, they are knitted and open in the front <br>B: I've never really known what a cardigan is. Is it more of a jacket or what? <br>A: so its like a sweater, open in the front, its often tied like a robe <br>B: Ah that sounds like something I'd like to try on sometime. When were they popularized? <br>A: so coco chanel made them popular because she hated how traditional over the head sweaters messed up her hair <br>B: So that's where that whole craze came from? So simple but it created a whole new piece of clothing, that's cool! <br>","At the same time, she started attending the theatre Ludus, which was at that time still an amateur theatre targeted towards younger audiences with its repertoire and performance of both national and foreign classics.",yea and she started going to the theatre ludus when she was younger,0.833333333,No,y
1552,1,GPT2-xlarge,nucleus,A: Do you enjoy watching cheerleading? <br>B: yes i do because it is an event where cheer cheerleaders cheer  for their team as a form of encouragement. <br>A: Cheerleaders have to be pretty good athletes themselves. Many of them do all kinds of stunts! <br>B: Yes the activities can be chanting of  slogans to intense physical activity. <br>A: There are all sorts of national competitions for cheerleading as well. It has really changed a lot since I was a cheerleader years ago! <br>,"At a pep rally, cheerleaders will often lead in boisterous chants and dance moves intended to get the student body involved and supporting the school's team.","Yes, and cheerleaders will often lead in boisterous chants and dance moves intended to get the student body involved and supporting the school's team.",1.0,No,y
1147,1,GPT2-medium,DBS,"A: Hi! Do you know Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer, <br>B: Yeah! I guess I always heard of him as ""Elvis Presley"". Do you like his music? <br>A: Yeah! Regarded as one of the most significant cultural icons of the 20th century,. <br>B: Cool! Yeah I've heard a few of his songs but I don't know much about him. Do you know his most famous song was? <br>A: More so, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"". <br>B: Yeah? That's a pretty cool title. Do you know if he always played with the same band? <br>","His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience.",I'm not sure but his career began in 1954.,0.833333333,No,y
792,1,GPT2-xlarge,nucleus,"A: My brother is into entomology. Do you know much about it? <br>B: I know that it is the study of insects, which is a branch of zoology.  Did he go to college for it, or is it just a pasttime for him? <br>A: It is just a pastime for him, but he also has considered taking classes for it so he can go into it professionally. <br>B: There are 1.3 million species of insects, so there is a lot for him to study if he chooses to. <br>A: I had no idea there were so many <br>","However, many scientists theorize that other factors may also be responsible for the increasing rates in post-industrial countries.","That is a lot of insects, especially considering that there are so many species.  There are also other factors that are causing the increase in insects, such as the use of pesticides and the lack of",0.333333333,No,y
887,1,GPT2-xlarge,beam search,"A: I have been learning to speak hindu! <br>B: Wow, do you identify with the local South Asian population? What was your motivation for learning? <br>A: I just have a few friends and want to impress this boy... <br>B: Well interesting! The meaning of the term ""Hindu"" has evolved over time. How fluent are you? <br>A: I have only just started a few weeks ago, Are you fluent? <br>","This Hindu Personal Law or modern Hindu law is an extension of the Anglo-Hindu Law developed during the British colonial period in India, which is in turn related to the less well-defined tradition of Classical Hindu Law.","I am not very fluent, but I do know that the Hindu personal law is based on the Anglo Hindu Law developed in India.",0.833333333,No,y
1199,6,GPT2-small,nucleus,"A: I really enjoy a fun day of skiing! I don't do it competitively though. <br>B: water skiing or snow skiing? <br>A: Water skiing is my preferred type of skiing! I love being out on the water. <br>B: Oh ok what do they call it when you ski on one ski? <br>A: I'm not sure if I ever heard of skiing on only one ski, but I do know there is Asymmetrical skis that were used until 19th century Sweden. <br>B: Nice, I know very little about skiing what else can you tell me? <br>","Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.","I know that modern skiing has evolved from beginnings in Scandinavia, but I don't know if that is true.",0.666666667,No,y
490,1,GPT2-large,nucleus,"A: Hello, do you like puzzles? I enjoy crossword puzzles! <br>B: Yes I do. But I never seem to be able to think of all the words. <br>A: Well, you should try the cryptic crosswords. Each word is it's own puzzle. SO FUN! <br>B: Wow tell me more about this puzzle. Sounds interesting! <br>A: What's awesome about cryptic crosswords is they are usually called ""setters"" in the UK. <br>B: Oh I have to know why. I would like to know how to do this puzzle. <br>","Often a list of the hidden words is provided, but more challenging puzzles may let the player figure them out.","Well, they are usually called ""hidden words"" but more challenging puzzles are often presented.",1.0,No,y
77,1,GPT2-xlarge,nucleus,A: I really like racing go-karts. They are a type of open-wheel car. <br>B: yes i used to ride in them when I was younger. They are fun. <br>A: I also enjoy them because they come in all shapes and forms. Some don't even have moters! <br>B: how do they work without motors? <br>A: They are called gravity karts and work by using gravity to go down a hill really fast. <br>B: Oh ok kind of like a soap box derby? <br>,"Gravity racers, usually referred to as Soap Box Derby carts, are the simplest type of go-karts.",Yeah. They are the simplest type of go-kart.,1.0,No,y
638,1,GPT2-large,beam search,"A: Do you enjoy italian food? <br>B: Yes I love Italian food.  What is your favorite? <br>A: I'm a big fan of lasagna! Although I'm not sure how authentically Italian that is, as how the recipes is the United States how been changed and whatnot. <br>B: I love chicken Parmesan! <br>A: Good choice! Anything with mozzarella and tomato wins me. <br>B: I Love both.  I also like provolone cheese! <br>","Similar to Manchego, this firm cheese has a milky, nutty flavour that goes well with various pear products.","I've never tried it, but I've heard it has a nutty, milky flavor.",1.0,No,y
453,1,GPT2-large,beam search,"A: Im really harsh with my inner critical voice. <br>B: Oh that sounds terrible... Why is that? <br>A: I just have low self esteem and have trouble dealing with my depression. <br>B: Do you take like medication for it? Its much more common then you would think <br>A: No, my main approach has been working with an inncer critic psychotherapists. <br>B: Oh okay, Im not sure what that is <br>","Raymond Hamden, doctor of Clinical and Forensic Psychology, defines the purpose of method acting as “compartmentalizing their own feelings while playing another character [so] they could bring the emotions of that personal feeling to cry if they needed to with that character.”  However, when these emotions are not compartmentalized, they can encroach on other facets of life, often seeming to disrupt the actor’s psyche.",It is a method to help people with their feelings.,0.666666667,No,y
802,1,GPT2-large,nucleus,"A: I am so scared of mountain climbing and things like mountaineering. <br>B: Mountaineering seems to have a varied definition depending on who you ask. Some categorize it as more of climbing while others lump it into more of a hiking/ backpacking thing. <br>A: I am scared of heights. So climbing any mountain would be impossible for me. <br>B: Well then you should definitely never go anywhere near mount everest. It is the highest mountain above sea level. <br>A: I would love to go see it and if I can drive up a mountain then I would be fine, but no climbing for me <br>","One of the clients, David Sharp, died near the summit and this event became the center of an international climbing ethics controversy.",Yeah it's a bit dangerous to drive up the mountain. One of the clients of the climbing school died near the summit and this event became the center of an international climbing ethics controversy.,0.833333333,No,y
154,1,GPT2-medium,beam search,A: What are  peanuts <br>B: The peanut is a legume- you eat them. They are delicious! I know a lot about them if you have any questions. <br>A: Please how do they look like <br>B: They are round and grow in shells. There is a sphere that is the goober and a small piece on top called the groundnut <br>A: Have you it before how does it taste <br>,"Annin tofu (杏仁豆腐) or almond tofu is a soft, jellied dessert made of apricot kernel milk, (which is often translated as almond milk, as apricot kernel itself is often translated as ""almond""), agar, and sugar.",I have never had it before. I love almond tofu which is made of almond milk.,0.5,No,y
700,2,GPT2-small,beam search,"A: Hey there, are you a minecraft fan? <br>B: Minecraft is a video game designed by Swedish game designer named Markus Perrson that was later improved on by Mojang. It's super fun! <br>A: My nephew loves the game but I must admit that half the time I have no idea what he is doing. <br>B: Yeah my nephew loves it too. He spends half the day playing it. The part about building stuff allows players to build with cubes in a 3d environment. <br>A: Nice. I guess I'm not sure what the point of it is. Maybe that's why it's just a game. <br>","Multiple gameplay modes are available, including a survival mode where the player must acquire resources to build the world and maintain health, a creative mode where players have unlimited resources to build with and the ability to fly, an adventure mode where players can play custom maps created by other players, and a spectator mode where players can freely move throughout a world without being affected by gravity or collisions.","I'm not really sure, but I do know that there are multiple gameplay modes available. There are survival and adventure modes.",0.833333333,No,y
1552,5,GPT2-small,DBS,A: Do you enjoy watching cheerleading? <br>B: yes i do because it is an event where cheer cheerleaders cheer  for their team as a form of encouragement. <br>A: Cheerleaders have to be pretty good athletes themselves. Many of them do all kinds of stunts! <br>B: Yes the activities can be chanting of  slogans to intense physical activity. <br>A: There are all sorts of national competitions for cheerleading as well. It has really changed a lot since I was a cheerleader years ago! <br>,"At a pep rally, cheerleaders will often lead in boisterous chants and dance moves intended to get the student body involved and supporting the school's team.",yea cheerleaders are often led in chants and dances to get students involved.,1.0,No,y
81,1,GPT2-medium,nucleus,"A: Hi,what do you know about big farming? <br>B: Pig are primarily farmed just so they can be eaten by humans.  How sad but true. <br>A: OK,But there are some cultural and religion that detested eating pork meat .Is that true? <br>B: I think the quakers detest it in Utah.  To think in other nations thousands of pigs are housed in such terrible conditions.  I can't imagine being a pig. <br>A: Pig farming <br>",Pigs are farmed principally to be eaten (e.g.,I can't imagine being a pig either.  The pigs are farmed to be eaten by humans for their meat.  I don't think it's fair.,1.0,No,y
