conv_index,model_type,decoding,context,knowledge,response,Avg Factual Correctness,Hallucination,Verifiable
14,GPT2-small,nucleus,"A: Hi buddy, I like hunting it is a practice of trapping the animal<br>B: Nice my dad owns a trapping business in CT.<br>A: I m talking about the hunting the animals. the species that are hunted are referred to a game<br>B: Yes I know I was just saying... So when you go hunting what do you hunt for? Deer? <br>A: I will hunting fish is my hobby. Caputure for food of fish is called fishing<br>B: I don't think of fishing as hunting though. Hunting to me is more of deer, duck, etc... When did people start considering fishing hunting?<br>","Hunting It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds.",It is not considered hunting to pursue animals without intent to kill them,1.0,No,n
15,GPT2-small,nucleus,"A: I was just trying to imagine what the first skier must have looked like. The first picture of a skier with two poles was back in 1741.<br>B: Try to imagine what his thoughts must have been as he is plummeting down the hill<br>A: I am certain the skis then were much different than today. <br>B: Yes, probably much less safe.  <br>A: the oldest examples of skis came from Russia and have been dated close to 6000 BCE.<br>B: Wow I would love to see a picture of those<br>","Skiing Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS).","Yes, they are. There are many types of competitive ski events and I think the IOC recognizes them as IOC events.",1.0,No,n
16,GPT2-small,nucleus,"A: hello  i wear cardigans because i think it makes me look more cultured<br>B: Me too, I like the more modern versions of cardigans that have no buttons and the ones that hang open, Do you have a favorite colored cardigan? <br>A:  my favorite cardigan right now  is a beige one<br>B: Thats a good color choice, I have one that was made in a machine, But I do prefer the hand-knitted ones if I can find them.<br>A: I do not have a hand made one, would like one, but they can be costly<br>",Cardigan (sweater) A cardigan is a type of knitted garment (sweater) that has an open front.,"Not necessarily, but I like the color that comes in the sleeve and the open front",0.33,No,n
17,GPT2-small,nucleus,"A: Archery got its name from the latin word, arcus!<br>B: That's fascinating! I am a Sagittarius, so I've always wondered why I am an archer.<br>A: That's awesome! my rising sign is a Sagittarius. :) It's cool that it used to be for combat<br>B: Do you know when that happened?<br>A: You know what, I can't remember. But I know the Sagittarius constellation is in the center of the Milky Way!<br>B: Do you know when they started using crossbows?<br>",Crossbow The earliest crossbows in the world were invented in ancient China and caused a major shift in the role of projectile weaponry.,"I don't, but the earliest crossbows in the world were invented in ancient China!",0.67,No,y
18,GPT2-small,nucleus,"A: I am an accountant. It's called the language of business!<br>B: Interesting.  What kind of things do you account for?<br>A: Well I process, measure, and communicate financial information about entities. Do you know any accountants?<br>B: I can't say that I do.  Sounds slightly droll.  How long did it take to become an accountant?<br>A: Several years! Specifically I am in the field of financial accounting.<br>B: Interesting.  What kind of salary do you make if you don't mind me asking.  Perhaps it would be a field I'd be interested in.<br>",Financial accounting This involves the preparation of financial statements available for public consumption.,Well I can't say I'm any good at it.  I have to do the preparation of financial statements available for public consumption.,1.0,No,n
19,GPT2-small,nucleus,"A: Hunting is the practice of killing or trapping animals, have you ever been hunting?<br>B: Yes I deer hunt every year, I prefer bow hunting<br>A: Do you eat the meat? hunting wildlife is most commonly done by humans for food.<br>B: Yes I make my own sausage with deer meat and half pork it is very heart healthy and delicious, seasoned with red pepper<br>A: Sounds delicious, Hunting can also be a means of pest control, do you hunt for that?<br>B: Sometimes when the coyotes start getting cattle we will hunt them to protect the livestock<br>","Hunting However, excessive hunting has also heavily contributed to the endangerment, extirpation and extinction of many animals.",Yes but hunting has also contributed to the extirpation and extinction of many animals.,1.0,No,y
20,GPT2-small,nucleus,"A: Hi, my wife is from Ireland, the island in the North Atlantic.<br>B: I heard it is beautiful there<br>A: yes it absolutely is, it is the second largest island in the British Isles and has many mountains and hills!<br>B: Sounds great! have you been?<br>A: Yes I went there last year and got to see relatively low-lying mountains surrounding a central plain<br>B: I would love to visit there sometime in the future.<br>","Ireland The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",The island has lush vegetation and is free of extreme temperature,1.0,No,y
21,GPT2-small,nucleus,"A: I help design video games for a living. More on the concept side, less on the actual building! Do you play?<br>B: Off and on, it seems as if gaming has become a part of popular culture.  What types of games do you design?<br>A: Educational, primarily for grade school age children. And yes, they are officially *enmeshed* in our culture for better or worse. I try to work for the better!<br>B: What platforms do you design games for -- PCs, video game consoles, etc.?<br>A: Primarily for iPads and tablets, since so many schools now distribute them to kids. I feel fortunate our boys are in a school district that distributes iPads for school use.<br>","Video game development The independent game industry has seen a substantial rise in recent years with the growth of new online distribution systems, such as Steam and Uplay, as well as the mobile game market, such as for Android and iOS devices.","I love the idea of independent game development.  They've seen a big rise in online distribution systems, such as Steam and Uplay, as well as the development of new online games.",1.0,No,y
22,GPT2-small,nucleus,"A: I met my wife at a Nickleback concert. Do you know that Canadian rock band?<br>B: I've heard of them, but I didn't know they were Canadian. That's cool.<br>A: They formed in 1995 in Hanna,Alberta, Canada.<br>B: How many members do they have?<br>A: They have four members. They are Chad Kroeger, Ryan Peake, Mike Kroeger and Daniel Adair.<br>B: What are some of their best songs? I'd like to give them a listen!<br>","Nickelback The band achieved commercial success with the release of their 2000 album ""The State"" and then they achieved mainstream success with the release of their 2001 album ""Silver Side Up"".","They have a lot of good songs. They released their 2000 album ""The State"" in 2001.",0.17,No,y
23,GPT2-small,nucleus,"A: I love the color green - its much nicer than blue or yellow!<br>B: I agree, it is so bright and happy and reminds me of money haha<br>A: Yes and the chlorophyll in plants makes them all be green!  <br>B: I see, is green associated with anything<br>A: In the Middle Ages green was associated with merchants and bankers<br>B: That totally makes sense, I wonder what makes green look green haha<br>",Green It is evoked by light which has a dominant wavelength of roughly 495570 nm.,Green is evoked by light which has a dominant wavelength of roughly 495570 nm.,1.0,No,y
24,GPT2-small,nucleus,"A: hello, when you get down to it , my favorite color is green<br>B: many creatures have adapted to their green environments by making themselves green<br>A: i can see why, the color green is so prevalent in nature<br>B: minerals are green often as well too, like emerald <br>A: green emeralds are pretty. they remind me of the hard green candy<br>",Emerald Emerald is a cyclosilicate.,"good thing you dont know that, Emerald is a cyclosilicate",1.0,No,n
25,GPT2-small,nucleus,A: I had a broken heart from my previous relationship <br>B: I've never really had the cross cultural concept of lost love. I've never had a girlfriend lol./<br>A: Why haven't had a girl friend? Even gays have someone they have feelings for.<br>B: I don't know I'm a really weird guy to be honest. I feel emotional pain and can understand a broken heart can be severe.<br>A: Ok. You are right a broken heart can be severely broken<br>,"Broken heart The concept is believed to be universal, with many cultures using the same words to describe both physical pain and the feelings associated with relationship loss.","I think the concept of broken heart is universal, but there are many cultures using different words to describe both physical pain and feelings associated with relationship loss.",1.0,No,n
27,GPT2-small,nucleus,"A: I'm allergic to bees so I have to carry an epi-pen with me everywhere.<br>B: Theres a species of stingless bees, so they woul;d be safe for you; i'm not sure where to find them.<br>A: It would be nice if they were all stingless.  I know bees have a very good purpose, though, so I don't get too upset with them.<br>B: My eight month old daughter picked up a hairy bumblebee the other day and it stung her palm, I was so upset.<br>A: I bet.  It's hard to see your kids get hurt like that.  Bumblebess have a very painful sting, I have been stung by one before.<br>",Bumblebee (Transformers) Bumblebee is a fictional character from the Transformers franchise.,"I am glad you got hurt, bumblebee is a fictional character from the Transformers franchise.",1.0,No,n
28,GPT2-small,nucleus,"A: I like to became a famous actress. So I interested to join in drama school<br>B: Its q great question your part,You want to be the likes of.......actress  In the Hollywood<br>A: Yes but not in hollywood . need to be part in dramsa. .If drama school is part of degree <br>B: Can one really be famous with just drama ? <br>A: Yes buddy, Its a great job. What you think about band. Do you like Yes band<br>B: No buddy! I don't know about ""Yes Band "" Do they act drama too?<br>","Yes (band) Yes are an English rock band formed in London in 1968 by singer Jon Anderson, bassist Chris Squire, guitarist Peter Banks, keyboardist Tony Kaye, and drummer Bill Bruford.",Yes they are an English rock band.,1.0,No,n
29,GPT2-small,nucleus,"A: I have problem getting motivated<br>B: motivation is peoples reason for there actions I think <br>A: Oh yeah. I do not find reason to do anything, I just want to be idle and do nothing <br>B: well maybe you are repeating the same behaviors and need to switch it up a bit to get you out of the rut ?<br>A: DO you mean maybe what i am doing is not what doing. Is there any cure i can have to get out of this<br>","Motivation Motivation is also one's direction to behavior, or what causes a person to want to repeat a behavior.",well motivation is also one's direction to behavior or what causes a person to want to repeat behavior,1.0,No,n
30,GPT2-small,nucleus,"A: I love Harry Potter!  I watched all the movies but did not read the books!  Should I?<br>B: The books are great! There are seven novels in total. They were written by J.K. Rowling<br>A: Do you consider them better than the movies?  Are they an easy read?<br>B: I do consider them better that the movies, They were initially released on June 26th, 1997 to immense popularity.  <br>A: Wow!  I actually thought the books were much older.  Isn't the author a billionaire now?<br>","Harry Potter , the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages.","Yes, he is. He sold more than 500 million copies worldwide.",0.5,No,y
31,GPT2-small,nucleus,A: I love the color green it reminds me of nature and trees<br>B: green is evoked by a light which has a dominant wavelength of roughly 495570 nm!<br>A: I had no idea<br>B: yes and chlorophyll contributes the most to the green color in nature. its a chemical that plants use for photosynthesize<br>A: That makes sense and you know a lot about this I can tell<br>,"Green In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.",green was the color most commonly associated with merchants and bankers,1.0,No,n
32,GPT2-small,nucleus,"A: Elvis Presley is one of my favorite artists of all time<br>B: I loved Elvis!  It was so sad when he died! He really WAS the ""King of Rock and Roll""!<br>A: He really was i was really sad as well, could you tell me when was he born?<br>B: He was born on January 8, 1935 in Tupelo Mississippi!  I was born on January 8 as well!  We shared the same birthday!<br>A: The odds of that happening are incredibly low it is awesome you where born the same day, what else can you tell me about him<br>","Elvis Presley Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.",I'm not sure about the odds of that either.  I would say Elvis was born in 1955.  I'm sure you're right!,0.0,Yes,n
33,GPT2-small,nucleus,"A: I hate US healthcare - I have so many medical bills!<br>B: well, sometimes you gotta pay your medical bills! it's not easy for healthcare providers...they have to submit claims in order to get payment!<br>A: That's true but the prices seem outrageous!  One night in the hospital is almost $10,000! <br>B: yep, which is where there is such a debate about healthcare reform in the US. people want more medical coverage for less<br>A: I just want it fair - I got Tylenol in the hospital and one pill was $500!  I asked if my husband could just bring mine from home and they said no. <br>","Healthcare reform debate in the United States However, in the next election of Donald Trump as president, he campaigned to repeal and replace Obamacare and came up with a seven-point plan for healthcare reform.","yep, he could! however, in the next election of Donald Trump, he campaigned to repeal and replace Obamacare and came up with a plan that didn't cost as much as it did",0.5,Yes,n
34,GPT2-small,nucleus,"A: watching football is one of my favorite things to do.<br>B: I'm not a huge fan of American football, or the gridiron. <br>A: I really just like watching my local team.<br>B: American football actually originated from rugby football.<br>A: OH really? I didn't know that!<br>","American football The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time.","The first match of American football was played on November 6, 1869, between two college teams.",1.0,No,y
35,GPT2-small,nucleus,"A: i played football in college<br>B:  love gridiron football.<br>A: yep i do to, a great sport<br>B: I played offense. I helped them try to advance the ball.<br>A: when i played, I played  defense<br>","Ohio State Buckeyes football The Ohio State Buckeyes football team is a college football team that competes as part of the NCAA Division I Football Bowl Subdivision, representing Ohio State University in the East Division of the Big Ten Conference.",They are a college football team that competes as part of the NCAA Division I Football Bowl Subdivision.,1.0,No,n
36,GPT2-small,nucleus,A: i design video games.  applying game design itself is a metadesign <br>B: That sound interesting.  What is a metadesign?  I have never heard of it.<br>A: its when elements in game design are applied to other virtual ones. <br>B: Thats cool what kind of games do you design?<br>A: Game design I use is used to create for entertainment or education. I've seen some for exercising too.<br>B: Thats cool .  Where do  you do play these games you design?  Are they for computers or games systems or???<br>,"Game design Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).",I play the game design with a computer.  I play games with my friend that I'm studying on the side.,0.0,Yes,n
37,GPT2-small,nucleus,"A: Green is my favorite color, its a good thing my eyes are also green. <br>B: I love green as well. When everything outside is green, it is usually nice and warm out, and not freezing cold.<br>A: That's a very good point, I hate the cold weather cause its cold and colorless.<br>B: Yeah and what is worse bout winter is all the snow, sleet, and hail. I love the rain in the summer.<br>A: Yeah, I hate the ice on the sidewalk, I always eat it. And summer rain is perfect when its hot and humid. <br>","Hail It is distinct from ice pellets (American sleet), though the two are often confused.","I like the fact that hail is distinct from ice pellets (American sleet), though the two are often confused.",1.0,No,n
38,GPT2-small,nucleus,"A: Have you ever had a broken heart?\<br>B: Yes, I have suffered from a broken heart which is a metaphor for major emotional and physical pain that someone feels from the longing of a loved one. How about you?<br>A: I don't know if I have, I mean maybe when my dog was put down but that seems like it was the worst emotional pain I've had.<br>B: When I had to put down my cat, I suffered immensely! The pain is severe and and can cause ""broken heart syndrome"" which means actual physical damage to your heart.<br>A: I;m sorry you had to do that it is sad.<br>","Broken heart The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.","It is.  The emotional ""pain"" of a broken heart is believed to be part of the survival instinct",1.0,No,y
39,GPT2-small,nucleus,"A: I need to learn more about accounting<br>B: Well, accounting is called the ""language of business"" and it measures the results of a company's economic activities.<br>A: What is the hardest thing about it<br>B: It's a lot of data. Financial accounting focuses on all aspects of a company's financial info. It deals with preparation of financial statements and analysis. <br>A: Hmm that makes since what else do you know<br>","Accounting Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.","You can also call external auditing accounting ""cost accounting"" or even accounting for the cost of providing services.",1.0,No,n
40,GPT2-small,nucleus,"A: Kendrick Lamar is one of my favorite rappers. Are you familiar with him?<br>B: I know some stuff about him. I believe he started when he was a teen with the name K-Dot which led him to be signed.<br>A: I didn't know he had a different name at first, that's cool. Do you have a favorite Kendrick Lamar album?""<br>B: No, I don't really listen to that genre. I have heard the song HiiiPoWeR though from his first album.<br>A: I think that's one of his more famous songs. What kind of music genres do you listen to?<br>","Kendrick Lamar By that time, he had amassed a large online following and collaborated with several prominent artists in the hip hop industry, including The Game, Busta Rhymes, and Snoop Dogg.","I like rap, country, country, country, country, country, country. I don't listen to much other genres.",0.0,No,n
41,GPT2-small,nucleus,"A: I used to be a cheerleader. Activities include chanting slogans and intense physical activity.<br>B: Oh, cheer-leading is something I do not know a whole lot about, what is something interesting about it <br>A: It is not just to motivate the team and entertain the audience. They usually compete too.<br>B: Really, that is awesome, Are there any popular cheerleading teams or squads?<br>A: There are many different ones. Cheerleading gained popularity after the global presentation led by the 1997 broadcast of ESPNs International Cheer competition and the release of the movie ""Bring it On"" in 2000.<br>B: I remember that movie, one of my favorite movies as a kid haha, I figured it had been around longer than 1997, that is very interesting. So are the Dallas Cowboys cheerleaders something special<br>",Dallas Cowboys Cheerleaders The Dallas Cowboys Cheerleaders are widely regarded as one of the best cheerleading squads in the NFL.,"Yes, they are. The Dallas Cowboys cheerleaders are regarded as one of the best cheerleading squads in the NFL.",1.0,No,y
42,GPT2-small,nucleus,"A: I try to use Instagram, but I just have the hardest time ""getting"" it.  I think I'm too old.<br>B: Lol! When did instagram first come out?<br>A: it was launched in october 2010.  I think it was mostly just for editing photos then. At least thats all I thought it was.<br>B: What else does instagram do besides edit photos?<br>A: It's a social media app that allows people to not JUST edit, but also share them with all kinds of people.  <br>B: Ohh okay! Is instagram popular?<br>",Instagram It is owned by Facebook.,"Yes, it is, it's a huge social media app.  It has over 100 million users.",0.17,Yes,y
44,GPT2-small,nucleus,"A: Hi! I'm such a big fan of Ireland it's my absolute favorite<br>B: It's the third largest island in Europe<br>A: That's really cool! Do you know the population in Ireland?<br>B: in 2011 the population was 6.6 million<br>A: Wow, that's alot of people. What's something interesting about Ireland I may not know about?<br>",Ireland Thick woodlands covered the island until the Middle Ages.,well it was covered until the Middle Ages,1.0,No,n
45,GPT2-small,nucleus,"A: Hello, I love to listen to Elvis , do you? he is the King of Rock N Roll<br>B: Yes, I love classic rock, especially from the 50s.<br>A: yes me to classic rock is the best! Rock N Roll Experience Magazine showcases classic bands sometimes<br>B: Can you tell me more about that magazine?<br>A: They started in 1992, and have done colorful interviews with bands like KISS<br>B: That's cool. Have they covered other topics?<br>","Hard rock Hard rock developed into a major form of popular music in the 1970s, with notable bands such as AC/DC, the Who, Led Zeppelin, Queen, Black Sabbath, Deep Purple, Aerosmith, KISS and Van Halen.","Yes, hard rock has a lot of bands, including AC/DC, Led Zeppelin, and Led Zeppelin.",1.0,No,n
46,GPT2-small,nucleus,"A: I love chocolate bars.  Have you ever heard of Dylan's Candy Bar?<br>B: I have heard of it, the daughter of Dylan Lauren owns it, but she is a fashion designer<br>A: Who is Dylan Lauren?<br>B: She is an american entrepreneur!<br>A: I see.  She is a fashion designer?  What kind of clothes does she make?<br>","Dylan's Candy Bar Lauren said that her goal was to ""merge fashion, art and pop candy culture"".","She made a variety of styles. Her goal was to ""merge fashion, art and pop candy culture"".",1.0,No,y
47,GPT2-small,nucleus,"A: I hate popcorn, cause it come from corn kernels.<br>B: really? i love to snack on popcorn<br>A: I do not like that it contains the seeds hard, starchy endosperm.<br>B: i guess if you going to cut out starches it would make sense not to eat popcorn<br>A: I also do not like the fact that a popcorn puff is 20 to 50 times the size of the original kernel.<br>B: that is the fun of popcorn, when they puff out and pop<br>","Popcorn The six major types of corn are dent corn, flint corn, pod corn, popcorn, flour corn, and sweet corn.","I don't like the fact that the six major types of corn are dent corn, flint corn, pod corn, popcorn, flour corn, and sweet corn.",1.0,No,n
49,GPT2-small,nucleus,"A: Have you ever heard of Insane Clown Posse?<br>B: of course, It is an American hip hop duo composed of Joseph Bruce and Shaggy  <br>A: How familiar are you with the horrorcore genre they perform?<br>B: Quite well, the group started off in Detroit in 1989 and was known for it's  known for its elaborate live performances.<br>A: I think they would be quite intimidating, as one of the performers is named 'Violent J'<br>",Insane Clown Posse The duo has earned two platinum and five gold albums.,"Yes, they are known for their hard hitting songs such as ""Insane Clown Posse"", and the hit singles ""Oh My God"".",0.33,Yes,y
50,GPT2-small,nucleus,A: I love green since by far the largest contributor to green in nature is chlorophyll. Do you like green?<br>B: Yea I find it to be a calming color. I dont know why.<br>A: It might be because its commonly associated with merchants and bankers!<br>B: Ah yes. That makes sense. Do you know if it is a primary color?<br>A: No but it is part of the RGB color model.<br>B: I see. Do you know its wavelength? <br>,Green It is evoked by light which has a dominant wavelength of roughly 495570 nm.,Yes it is. It is evoked by light which has a dominant wavelength of roughly 495570 nm.,1.0,No,y
52,GPT2-small,nucleus,"A: American football has evolved in th US, it originated from the sports association f football and rugby football.<br>B: I love football!  When did it originate?<br>A: Well both rugby and football have their origin in a variety of types of football played in britain in the mid 1800s, english public school games were based on those games so i would say it started to form around 1850s ish and evolved until we got what we have today.<br>B: Wow!  I didn't realize it had roots in the UK!  Pro football started here in America though, right?<br>A: Well the first match of american football was played november 1869 between two college teams under rules of the association of football, so i can say america has been pretty serious about football for a while but i am not sure about pro football starting here.Canda has a professional football team as well.<br>B: Oh.  I didn't know Canada played.  Who is your favorite team?<br>","College football College football is American football played by teams of student athletes fielded by American universities, colleges, and military academies, or Canadian football played by teams of student athletes fielded by Canadian universities.","The american team is the american team, so i am not really sure.",0.0,Yes,n
